text_norm,sarcasm
دولهالخلافه القوات العراقيه تفكك العبوات الناسفه التي خلفها داعش بجزيره الرمادي,False
برضو سانتخبالسيسىومشهنزللمستواك,False
انتخاب مرسي بالقطع ليس سبه ولدى اصدقاء لا اشك في ثوريتهم انتخبوه لكني ببساطه لم انتخبه وقاطعت وان كان هو الان الرئيس الشرعي,False
خطرفيالقدس يزداد الخطر بزياده الغفله واللامبالاه في قضايا القدس واخرها صوت ماذنها الذي يقاوم الاحتلال,False
العصابه الوهابيه تحارب جبهه النصره وتركت جيوش المجوس تسرح في حلب ههههههه,True
هههههههههههههه كمان حكاها بشار الاسد بعد ما صلى العيد بداريا,True
ماجدهواصف لا اعرف من هي سماالمصري و مهرجانالقاهرهالسينمائي لم يوجه الدعوه لها مصريات,True
الارهابصناعهامريكيهلاسعوديه قانونجاستامحمد الملا يتكلم عن مذكرات هيلارى كلنتون,False
قبل كنت اتابع فيدرر بس كرهت نادال يوم طلع,False
شمعه الكترونيه لمستخدمي اجهزه ابل,False
صار حزبالله مثل فيلقالقدسيتحدث عن فلسطين وهو يقتل العرب ويدمر حلب,False
الاعلامي عكاشه اتغير درجه بقي بيبرر ارتفاع جميع الاسعار علي المواطن محدود الدخل بكل الوسائل وبقي زي القط الاليف هي مرتبات الاعلاميين بتعمل كده,True
جستن بيبر,False
حماس ما بعد مشعل بعيون اسرائيل,False
حواري مع النجمه الذهبيه نوالالزغبي على صفحات جريده الوطن وتصرح الان اصبحت ناضجه,False
الانفاق قاتله الجنود والمدرعات في حلب جبههالنصره اشترت من داعش اسلحه من تدمر,False
لا انا انصحك تعدل لغتك العربيه بعدها تدخل الجامعه,False
طول م انا بتخانق وبعاتبك يبقا لسه باقيه عليك وبحبك المصيبه بقا لو بطلت اعمل كدا اعرف انك مبقتش تهمني ولا تفرق معايا,False
نادين نسيب نجيم,False
اليوم يمكن اجاني نوتفكيشن حسيت حالي بحساب جستن بيبر يعمي,False
اللهم كما نصرت عبدك موسى في مثل هذا اليوم فانصر عبادك في العراق و سوريا و اليمن نصرا عاجلا و نسالك ان تحمي وطننا وجنودن,False
محد صاح,False
يعني على اساس لو ما حلف الناتو والسعوديه وتركيا وقطر كنتوا اساسن حسنتوا تسيطروا على مخفر,False
الاهليضمكدوووريالمحترررفيناذا اراد احدكم الكلام فعليه ان يفكر في كلامه فان ظهرت المصلحه تكلم وان شك لم يتكلم حتى تظهر,False
كارثه يرتكبها كل من يقول ان المولدالنبوي بدعهالاسلام اهلالسنه الازهر المولدالشريف الدعوهالنجديه,False
الله يرحمه ويعفو عنهكان من حزب الخونهاللهم تجاوز عنه واغفر له وامسح ذنوبه يارب,False
اللهم انصر اخواننا في حلب وارحم المستضعفين منهم واجعل تدبير اعداءهم في تدميرهم وعجل لنا بنصرهم يارحيم,False
في قلبي رجل يلغي كل رجال,False
مبارياتالخميس ديسمبرريالمدريدكلوبامريكاالشبابالاتفاقالباطنالفيصليالجيشالغرافهجنوىفيورنتينا,False
اتفاق بملياري دولار بين الصين و مصر لتبادل العملات,False
اثر هجومهما الهمجي على حلب البيت الابيض يحذر الاسد و روسياسوريا واشنطن روسياتحرقحلب تدميرالمشافي,False
اقلها اليمن مستقره نوعا ما ،اما حلب فكم دوله تحارب سوريا ولا زال السوريين يدافعون عن بلادهم اللتي تدمرت بسبب روسيا,False
الله ياخذ جاك على هالجوده زين,False
نتحمل مسؤوليه الحفاظ على الرسائل من بعد تنسيقها بحيث لا يمكن الوصول اليها الا من قبل صاحب الرساله,False
ممثل الجمهوريه العربيه السوريه يسترجع نزار قباني وذكرياته في المدرسه,False
بنعتذر لحضرتك يا فندم علي التاخير سيتم اقلاع الرحله في تمام الساعه تحت رقم بدلا من بنتمنالك رحله سعيده,False
صرت موا,False
انتخبواالعرص بقت مكتوبه ف كل شوارع مصر,True
هاري بوتر يعود من جديد,False
جبير ايه ؟ دا وزير الشؤون الخارجيه القطري ذات نفسه عندنا بس عشان اجتماع الجامعه العربيه,False
يوسف الحسينى يسب السعوديه لقطعها المساعدات عن سيسى يا شحاتين ياارهابيين احنا يا ما اديناكم رز ومحدش حماكم غيرنا,True
شاهد كيف كشفت روسيا اطلاق صواريخ باليستيه اسرائيليه وامريكيه تجاه سوريا,False
نفس من عبدوا كاسترو من العرب يعبدون الولي السفيه و بوتن اليوم,True
نشطتها مال هاري بوتر احس,False
مررررررزوووقفاااااااالحالحححححبييييينيالولي،,False
كلناااالدلمانيتدريجيا بدات افقد القدره على انشاء صداقات وفتح حوارات طويله او اي شيء يحتاج بدايه,False
الحين العيناويه مابيسكتون تري الوحده ناقص لاعبين واجانب محد ويلعبون بالصغار ، واضح,False
هههههه شخص برمضان اذكر كتبت له نصيحه وسوا ريتويت لكلامي وخله اللي عنده يهاجموني واتفاجئ بوجوده معاي بمااده سخريه القدر,True
يارب لم يعد للقلب متسع لمزيد من الحزن,False
امين عام الجامعه العربيه يبحث مع مبعوث اممي تطورات الاوضاع بالاراضي الفلسطينيه المحتله,False
الحقيقه اللي مش عايزين يفهموها ان النقد لو مكنش بالطريقه النضيفه دي كان هيبقى في شتايم وقله ادب وهيزعلوا بجد باسميوسف,True
حاليا نوفاك قبله نادال قبلهم فيدرر الافضل على الاطلاق,False
اليومالعالميللغهالعربيه يفترض لها كل يوم وكل ساعه؟ لغه القران الذي نتلوه يوميا لغه التعليم المدرسي لغه العبادات لغه امه الخير,False
يا رب,False
ليبيا عاجل اشتباكات مسلحه بالقرب من فندق ريكسوس بالعاصمه طرابلس,False
منع حازم عبد العظيم والسيد البدوى اكبر انصار الانقلاب العسكرى من السفر يمثل تطبيقا لمبدا صاحب الحمير اضرب المربوط يخاف السائر,True
زمان كنت اغرد في السياسه وقالوا قديما السياسه نجاسه الحمد لله اني تطهرت من تلك النجاسه معكمادهم مصر التحرير مرسيرئيسي السيسي,False
اللهم انتقم منالذين طغوا في البلادوارحمالذين اخرجوا من ديارهم بغير حقحلبالمنكوبه,False
ماذالوالمدارسمختلطهعزيزي المعلم لاتتهاون برصد ومحاسبه الطالب على اي شي مخالف للوائح السلوك والمواظبهتطبيقها يجعل البيئه المدرسه,False
كلما شاهدت طاوله الشطرنج الجميله التي تزين غرفه اجتماعاتك في بيت الوسط اتحمس ان اشاطرك المباراه الوديه يا شيخ انا مبتدئه فقط,False
خطاب بوب ديلان في حفل نوبل كان لماح جدا خاصه في علاقه شكسبير بالادب واللي خلاني افتكر كلام تولستوي عن السينما لما,False
الجزيرهنت وتبقىماذنالقدس تصدح بالاذان اسرائيل القدس,False
هذه حدثت في عهد ابن همام في عام ٢٠١١وبحث بسيط عبر غوغل ستجد الكثير والكثير,False
هيجو اصير وزيره الصحه الا اشنق عديله بباب المعظم يم البوكي ستوب حتى الي يدور على بوكيمون يشوف عديله ويجوز من اللعبه,True
قال رسول الله ايما عبد ابق، فقد برئت منه الذمه رياض الصالحين ريالمدريد,False
العرص فى نيويورك,False
احصل الان على دوره تدريبيه مجانيه في مجال الصحافه من فيسبوك في ظل مساعي شركه فيسبوك في جعل جميع المستخدمين,False
اوبر الان بالقصيمبريده,False
الخارجيه الامريكيه كيري اطالب كل الاطراف بالالتزام بوقف الاعمال العدائيه الذي سيسمح,False
اللحيهالبيضاءونبيسلوفي ما رحم الوايت بيرد,False
انسان ايا انسان ما اجهلك ما اتفهك في الكون وما اضالك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقه لك عجبي صلاحجاهين,True
كيف تلعب اول لعبه ماريو مخصصه لاجهزه ايفون؟ عبر,False
محافظالقاهره ازاله العقارات المخالفه بالقرب من المحكمهالدستوريه لحمايه المواطنين,False
رامى عياش عملى لايك على اغنيته,False
الرياض حي الواحهتقاطع شارع رفحاء مع طريق ابوبكر الصديقموقعنا عبر خرائط جوجل,False
لو انت من الناس اللي لم تؤيد او تسكت عن ظلم او فشل سواء في فترات مبارك او المجلسالعسكري و مرسي و السيسي، قول,False
الهجوم المتوقع على كرداسه متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,False
جمال الليل في نظره عيونك ،، ونور البدر مرسوم بجفونكوكل الكون ما يسوي يا نادين بدونكالله يحميكي ندووون,False
عندي ثقه فيك,False
وزير الخارجيه المصري يصل مقر الجامعه العربيه ويليه وزير الخارجيه الفلسطيني ليبدا اجتماع اللجنه العربيه المعنيه بانهاء الاحتلال الاسرائيلي,False
اشرايج ف جز؟؟ انييبه بس عشان يغني ٩٩ مشكله ولا يغني مع بيونسيه,True
ديلى ميل ترامب سينقل السفاره الامريكيه من تل ابيب الى القدس,False
ثار سيدبلال وغيره سيلاحققك ايها الافاق برهامى شيوخالسلاطين تجاردين,True
كيف تشكلت صوره السعودي لدى الاعلام الغربي؟ وما هو الدور الذي كان يؤديه مرتزقه الاعلام؟تتبع المال يكشف حقيقه هذه المساعي فضيحهتركيالدخيل,True
التحكم المروري حركه المرور كثيفه من اوتوستراد زوق مكايل باتجاه مفرق غزير وصولا الى كازينو لبنان من دون عوائق,False
تظاهرات احوازيه ضد ايران لمصادرتها اراضي جديده بالجنوب,False
الطبرسي يطابق المفيد في نفي وجود المحسنالصرخييغردولايهالفقيهولايهالطاغوتحادثهالداراثارهعواطفوجهل,True
استمرار ماساه غرق شبابنا في محاولات يائسه سعيا وراء لقمه العيشما هي اسبقياتنا واين نحن من اهداف الثوره عيش،حريه،كرامه انسانيه ؟,False
الجيزه مصرمشتكيه الفاعليه الثالثه لاحرار اكتوبر امام سنترال الحى السادس,True
دوت مصر كامل الوزير ل عمرواديب الرئيس امر بانهاء انشاءات محطه اسوان التفاصيل عبر نبض,False
لو استمر مرسي في سياسه العناد الفاشله سيكون الفرق الوحيد بينه وبين المخلوع مبارك انه لا يحب ان يقضي اجازته في شرم الشيخ، على الاقل حتى الان,True
اكثر من غاره جويه من الطيران الروسي على عده احياء مدينه حلب وسقوط شهيدا و جريحا ومازال الدفاع المدني يعمل على ان,False
خليفتنا اردوغان رضى الله عنه ينام على الهواء خلال كلمه بوتين فى مؤتمر مشترك باسطنبول وخبيريؤكد ان فخامته مرهق من شده العمل,False
اعلان غوغل دليلك لحرب المناطق والشوارع والاحياء في ليبيا,False
ارسل المغني بوب ديلان الفائز بجائزه نوبل للادب رساله يشكر فيها الاكاديميه السويديه و وصف هذا المنح بانه شرف يضاهي الوقوف فوق القمر,False
القبض على المتحدث باسم حزب الحريهوالعداله محمدع,False
مسرحيه سيد قطب نفس مسرحيه صدام الاعلام الغربي باشكاله يريد تثبيت صوره متلبسين الاسلام بصوره المخلص فلا تكن فريسه للغرب,False
اعجبني فيديو على ادمان لعبه بوكيمون قو,False
ستون عاما وفي لبنان اخوه لاجئين فلسطينيين، ولم يكن لهم وزيرا لشؤونهملكن الاخوه النازحين السوريين حظهم مع الحكومه نارنخترعوزارهلوزير,True
اليمنيه الناتو واثق من حفاظ ترامب علي قياده الولاياتالمتحده للحلف,False
الولاياتالمتحده احتجاز صحفى كندى كان يتجه لموقع الاحتجاجات على مد خط البترول فى نورث الولايات المتحدهداكوتا لمده ساعات يثير المخ,False
اللهم عليك بالظالمين لافروف,False
تدهور الحاله الصحيه لعائلات شهداء وجرحى الثوره المضربين عن الطعام,False
الي يبا يشوف الصدقي يشوفني يوم اكون وسط ناس مادانيهم,False
عمرواديب اردوغان بيصوت و تركيا بتسف التراب الاسبوع ده هههههههههههههه حرقاك يا اقرع,True
فى قلبى ما اموووووت,False
مدفن القاهره للعداله ماذا يحدث الان فى مطار القاهره ، الشرطه تمنع اوائل الحقوق وترحب وتفسح للمتاخرين الفاشلين,True
لو شاطره تفهمها او تروح للشيخ غوغل يترجمها باهبل من هيك,True
باحضان يا غاليه الجونه,False
من قايل لجراح الهبيده انك حلو ؟ والله يا معطي نفسه وضعيه جستن بيبر بسنابه,True
طبت طيب اوردوغان والله لا ينفع مع الاوغاد الايرانيين او الروس او السوريين الا التهديدبالقصف الجوي والارضي ان اعتدوا على النازحين السوريين,False
مباشرمنرابعهستبقيحلبشاهد طفل سوري يلقي قصيده مؤثره وهو يبكي فليذكر التاريخ اعداد الصواريخ تقتل,False
لاتساليني ليييش عن رجمي نزلتذيب الخلا لاجااااع عن رجمه نزلعن الغزل وسماان الافكار اعتزلتكل شي في عيني بعد غبتي هزل,False
موسكو استئناف المفاوضات السوريه في كازاخستان امر واقعي,False
طريقه تعطيل محرك البحث بينج في ويندوز,False
جيش السيسي يهدم بيوتنا؛ لاقامه منطقه عازله بين سيناء وغزه اين اقنيه التصهين؟ لا ورواري العربيه يلطم، ولا منتهاه,True
ما شاء الله متخذين كامل الاجراءات الصحيه اخر شي النطره عباره عن لعبه الكراسي,False
مصر في الاخبار اغذيه ملوثهاكل لحوم الحميراعتقالات قسريهقتل بلا محاكمهحرب على الاسلامتحالف مع سفاحي حلبطعن في ظهر,True
جريدهالميدان الناتوالناتو ضباط اتراك طلبوا اللجوء وعدم العوده الى انقره,False
ابتسم في وجه الناس فانها صدقه,False
عالم الكره الصفراء كان يتيما حتى جاء فيدرر و اخرج جمال هذه الرياضه للعالم,False
نوال الزغبي شو بتعملي ؟؟,False
ديميتروف الى هذا الحد استطاع التغلب علىنادالجوكوفيتشمورايفافرينكالكن لم يستطع التغلب على الذي علمه السحرروووووجير,True
احتفالات الدون على طريقه,False
في الوقت اللي يجتاح فيه اليمين المتطرف اوروبا وترامب امريكا والعالم ، يتم تعيين ملحد يبت في امور المسلمين اوللادينيبمجلسالشوري,True
النظام الصحي الامريكي يحرم اكثر من مليون امريكي من العلاج,False
نجوم مصريه تاريخ مباراه السعوديه واليابان القادمه فى تصفيات كاس العالم,False
طيران العدوان يشن سلسله غارات على عدد من محافظات الجمهوريه اليمن نجران,False
كل شي بيرفكتتت حرفيا,False
ايمن يونس يؤكدالزمالك لا يشارك فى دوره فى قطر لموقفها من مصر حكومتك يا كابشن بتتفاوض مع قطر عشان تشحت غاز,False
ثلوج متوقعه على المناطق الشماليه والجوف فجر الثلاثاء طقسالعرب,False
ريكي مارتن بعد حريم العالم كلها اللي قدامو اختار انه يخطب جوان جوان دا واحد من اصول عربيه وانا اللي كنت فاكرك نينجا طلعت,True
باسمطلعحرامي عاشقمصر,True
اطمنوا ايها النبلاء تعز بخير فقط روايح جثث الحوثي والمخلوع ازعجت الساكنين حتى الكلاب ترفض لحومهم النجسهالتكبير من فوق جبل هان الان اليمن,True
اليمنيه تعيين عبدالواحدالدعام عضوا في مجلس الشورى,False
ديوان الوقف السني يقيم احتفاليه بمناسبه ذكرى المولد النبوي الشريف في مخيم حي الجامعه للنازحين,False
روسيا و الصين تستخدمان حق الفيتو وتفشلان هدنه حلب سورياتمدن,False
لولا لغه السي لبرمجه الحاسوب ماكان فيه كومبيوترات اساسا مات مكتشف اللغه العظيمه ولا احد طق له خبر,False
يونجون هنا؟ بكييت لاا,False
اليمنيه شهيدا و مصابا في خروقاتالانقلابيين بتعز خلال ساعه,False
لاول مره منذ عام يكون روجر فيدرر و رافا نادال خارج المراكز الاربعه الاولى في تصنيف الاتحاد العالمي للتنس,False
ياروافض بلا كلام والا سوف اخرجالعراق بغداد البصره كربلاء النجف لبنان البحرين الكويت قطر سوريا عمان الاردن,True
سيدناالنبي كان طيب الرائحه، واذا صافحه احد ظل بيده عطره سائر اليوم صلى الله عليك يا سيدي يا رسول الله,False
الله من نزع ملكم لغدركم وليس السيسي الله من اذهب حكمكم لعدم اخلاصكم الله من استبدلكم لانكم خنتم الامانه ووليتم من لا,False
تويتر تنزف دولارات ببورصه نيويورك بعد انباء عن تراجع جوجل عن الاستحواذ,False
ليه مستكترين ان الست تنفيطيب شكرا ليها انها نفت كلام طائفي زي دهولازم يتم عمل تحقيقات قضائيه لاثبات وجود قرصنه ولو طلع كدب ساعتها تتحاسب,False
تحقيق اعلى دخل مع اوبر,False
بوتين ودعم اليمين المتطرف في العالم,False
وكيل رمضان صبحي يصف اللاعب بالاستثنائي ويوضح الفرق بينه وبين صلاح,False
مع هدف الباراغواي رجعنا لنغمه ميسي احب اذكركم ميسي مالعب قدام تشيليفي دور المجموعات بالكوبا وفازت الارجنتينولعب النهائي و,False
الحسين رضي الله عنه كان سابق عصره ويستخدم غوغل مابس,False
طبعا هذول خرفان شهرهيعني تلاقيه يلعب بوكيمونيتكلم عن طلاق براد بيت وانجلينايعني مواكبين الاحداث التافه,True
ريكيمارتن يعلن خطوبته من فنان سوري الموجز منوعات,False
اوباما يندد بتصريحات ترامب المهينه والمخزيه بحق النساء ندد الرئيس الاميركي باراك اوباما الاحد بالتصريحات,False
سؤال يحتاج الى جوابمصر تغلق مسجد الحسين امام الرافضه لاحياء عاشوراءتركيا واردوغان تسمح للرافضه باحياء عاشوراء,False
صدر اليسا وجه رؤى الصبان شعر و رشاقه ميريام فارس و مكوه روبيو عيون زينب ذيك المغربيه و الصوت مثل نوال الكويتيه وبس والله,False
الجهء من الشعب المصري فضحونا فى كل مناطق العالم بالهاش تاج المسي و نعمه التحضر سانتخبالسيسىومشهنزللمستواك,True
هذا ان اشار او وشى، فانما يشي بانه مفيش اي قيمه وطنيه موجوده عند هذا التنظيم ولا ابناء هذا التنظيم,False
من ساعه ابل لهواتف سامسونج اجهزه يمنع السياسيون من استخدمها لاجراءات امنيه البحرين الكويت السعوديه الامارات,False
الولاياتالمتحده ترامب يتخلى عن اعماله التجاريه للتركيز على العمل السياسي,False
اذكر اسم او صفه لخاتم النبيين في القران الكريم ؟ممكن ارسال اكثر من اسمبمنشن مختلف٣ ايفون بالقرعهريتويت فض,False
المهاجر ابوحمزه الشيعي العراقيمن قلب محروق يهاجم حكومه اللصوص واصحاب العمائم عصابات العراق بغداد البصره كربلاء النجف,True
تفعيل الوضع الليلي على ايفون٧,False
يا حلب انتي عنوان الصمودباذن ربي ، لا لن تسقطين ٰرغم حلف ، الروافض واليهودرغم بوتن و بشار اللعين,False
البرلمان الاحتلال ينصب عشرات الحواجز العسكريه في القدس المحتله,False
السيسي يصف الاسلام بالارهاب المتطرف ويدعوا لمحاربته تحت مظله الارهاب وذلك على قناه ليرضي اعداء الاسلام خيانه عظمى مصر,True
قوقل يتعاطون زقمسوين حمله للتحسين ترجمه قوقل عشان النازحين السوريينوهنا حاطينه رئيس سوريا,False
بشار الاسد يرفع رسوم الاقامه في سوريا,False
تراث باراك اوباما السياسي محمد الرميحي,False
لم تغلق قناه الفراعين لانها الاكثر كذبا او فجورا ولكن لانها الاقل احترافيه فى الكذب والفجور,True
شاهد يسري فوده ومن يامن لمن قال يوما طز ف مصر,False
اقصد منجد تستاهل هالتحفه الفنيه,False
حكايه جايي تحتل المرتبه الاولى على عرش الاغنيه العربيه برافو امير عمل بنفتخر فيه اميرالليل,False
حوار خاص مع النجمه ناديننسيبنجيم لمجله ماري كلير العربيه,False
الله ينور عليك يا دكتور هو ده التفكير اللى عايزينه مش كم مسجد وكم كنيسه,False
الوقت ليس متاخر على البدايه من الصفر، وهو خير من السير في طريق الجميع يعلم نهايتهمليونيهديسمبر,False
ريكى مارتن يظهر بخاتم خطبته من الفنان السورى جوان يوسف,False
يالرخيص ٥٠٠ عاد,False
صور طبيعيه متحركه للسحب خلال ثلاث ساعات ماضيه سحابالخير عالمالطقس طقسالسعوديه طقسالعرب,False
بالفيديو عكاشه والله هيفاءوهبي ست مش طريه واللى يتجوزها يبقى خد خازوق بوابهالقاهره مصر توفيقعكاشه,False
الاخوان اختاروا رضا الامريكان خلاص، بانت من زمان وده اللي هيعمق خلافهم مع السلفيين ومش بعيد تلاقيهم بيعايروا السلفيين بعلاقه بعضهم بالامن,False
شاهد زينه اخر عيد ميلاد لاوباما في البيت الابيض اميركا باراكاوباما الولاياتالمتحده اعياد عيد الميلاد,False
وش فائده فلسطين و القدس وال فلسطينيين في المذهب الرافضي والمجوسي هذولا اللي يغررون بكم ويتاجرون بقضيتكم وارض,False
اليمنيه مجلس الوزراء السعودي ضروره وضع حد للممارسات الميليشيا واعوانهم,False
يعني احزاب اسلاميه فقط هي من تصوت على مسوده الدستور الان وان عضو رفضوا اللعبه من الاصل والاحتياطي,False
اكيد لم ترى تقرير الصندوق الدولي عن الجزائر و صعود وتيره النمو في الجزائر عكس المغرب غوغل,False
هل تؤيد تقديم الاختبارات النهائيهوتكون في شهر شعبان بدلا من شهر رمضان ؟نعمرتويتمنشنلامفضلهالتصويت مرتبط بحسا,False
ياسر ابو عمار في سياسهفيدين علي الجزيره غيرت موقفي من حزب النور بسبب مواقفه المخزيه مع الرئيس محمدمرسي,False
بتغنيلها يا بنت الجيران تبع رامي عياش؟؟ مغروم شكلك لشوشتك,False
تقرير غزه تحت شعار انهاء الانقسام المعاهد الازهريه تحيى ذكرى المولد النبوي الشريف محمد ابو حطب,False
مجلسالامن يصوت بالاجماع على مشروعقرار حول نشر مراقبيندوليين في حلبفرنسا روسيا,False
حمله هيلاري تفجر موضوع تواطؤ فريق ترامب مع موسكو من جديد,False
رئيس مجلس الوزراء كلي ثقه بحرص الناخبين والناخبات على الالتزام بالاشتراطات الصحيه حتى بعد نهايه العمليه الانتخابيه وان تتم مظاهر الاحتفال عبر الاتصال وليس التجمع,False
حق شهدائنا يضيع بشكل منظم نظامنا القضائي عاجز عن القصاص والجهات التشريعيه والتنفيذيه لم تدعمه، ومحاسبه كل من قصر في جمع الادله ضروره,False
قوانين اي مرحله انتخابيه اهم مليون مره من المرحله نفسها بمرشحينها وكل المراحل اللي بعد الثوره اتلعب في اساس قوانينها لتدبير النتيجه باطل,False
ما فيه امكانيه تقربون المذيع والمذيعه بالاخبار اكثر من بعض مرره بعيدين بشكل يشتت الانتباه,True
كل ما نفعله هو التفكير بالمشاعر التي نخفيها جستن بيبر,False
دفع ايهام الاضطراب عن ايات الكتابويليه منع جواز المجازللشيخ العلامه الشنقيطيمعرضالكويتالدوليللكتابالسعر,False
لن تسكتوا صوت الاذان الله اكبر فلسطين حسبي الله عليكى اسرائيل,False
تبارك الرحمن,False
اوبر بات محظورا في الدنمارك ايضا,False
اسرائيل تطلق اسم بيريز على مفاعلها النووى,False
النداءالاخيرحلبتبادستبقىحلبوتلك الايام نداولها بين الناسصدق الله العظيماجلاء بعض المدنيين,False
فيه ناس بتبعتلي رسائل عتاب رقيقه جدا والله يا جماعه انا ما عنديش اي نيه اكون كاهن ولا ملاك وبقول للخروف يا خروف في وشه ومش هتغير,True
طبيعي لانهم في الخلف,True
كلمه صاحب السمو الاميرالوالد الشيخ حمد بن خليفه ال ثاني خلال مراسم تابين زعيم كوبا الراحل فيديل كاسترو في كوبا,False
الاصلاح يدعو المجتمع الدولي لاسناد الحكومه الشرعيه في كشف ومحاصره بؤر الارهاب يمنشبابالفضائيه اليمن,False
مبسوط من نفسي لاني صرت اعرف كيف اصبر وانا مخبي كلام كبير بقلبي ولا احتاج احد يسمعنيكلناااالدلماني,False
البرلمان العربي يطالب المجتمع الدولي برفض تصريحات ايران العدوانيه,False
هاذي النبته طلعت محل م ماتو جنود بريطانيا وقت الحرب عشان كل سنه لازم يلبسوها ك ذكرى,False
لا ينكر احد ضروره اجراء اصلاحات شامله بالقضاء سواء فى كيفيه التعيين فى البدايه وحتى كيفيه المحاسبه داخل القضاءلهذا تقدم,False
ويندوز بمساحه تخزينيه اقل من انظمه مايكروسوفت السابقه,False
لودهجناناتجنن لما تشوف واحد بيعاكس واحده روح اعمل اخوها,False
يبدولي انه ما كان عندكم ماده المكتبه ضاع عليك نص عمرك، اكثر ماده مفيده درستها في حياتي,False
واحده في دفعتي لسه شايفينها من شهر مع واحد كان واعدها هيخطبها و كده من يومين تلاته لقيناه خطب واحده غيرها و هي مشت مع واحد جديد,False
ها علاش روسيا صفحت لتركيا و تنازلت عن حقها في قضيه اسقاط الطائره روخوي و مقتل قائدها,False
صدور قانون تشكيل الاحزاب دون اي حوار ونفس الحال بالنسبه لقانون مباشره الحياه السياسيه يقلص مضمون اي حوار وطني ويفقده جانب كبير من مصداقيته,False
ما كل هذه الاعداد انا مبهور عجله ورا يا مرسي والا هندخل في مرحله وا كرساه,False
ريكي مارتن بيقلب شباب و احنا قاعدين,True
لافروف حقوق الانسان ليست وسيله لتحقيق المصالح الخاصه,False
ميسي عنده منتخب قوي وعناصر خرافيه بس هو يخذلهم,False
احلم دوما ان اكون الافضل بين الجميع لذا اجمع البوكيمون سلاحي المنيع بوكيمون ساجمعها الان,False
مع الانقلاب الدموى هزيمه دمويه لمنتخب مصر بالسته من يقتل الستات فى الشوارع تقتله غانا بالستات فى التصفيات,True
هلتتزوجوحدهتكشفوجهها لو كل واحد عايز يتجوز سال السؤال ده البلد كلها هتبات في الشارع عادلامام,True
مع زيت الكثافه وداعا للقشره والصلع والتقصف والفراغات والشعر الخشنيستعمل للدقن والشنب وشعر الراسللطلب وتس فقط,False
تبا جدار الصامتين خطبه الشيخ احمدالقطان عن حماه ١٩٨٢وكانها تتحدث عن حلب ٢٠١٦,False
ملوك الاناقه والفخامه طبعاا قميص غوتشي لابس تاي تاي,False
شوقي ولد الهدى فالكائنات ضياء وفم الزمان تبسم وثناء اللهم صلي وسلم على سيدنا محمد وعلى اله وصحبه وسلم بكفيحصار اضبطواشركاءالمخلوع,False
هل تعتقد ان الاسد يصدق ما يقوله؟ارانيوز سوريا بشارالاسد,False
